Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
,,,,,,,,,,,,,,,,
1,Y,ManufacturerSpecs (extension base),,,,,,"This describes the Manufacturer specifications for this component (i.e., Manufacturer Name, Model designation and Catalog Number).",ExtensionBase,,,-,,same,-,-
1,Y,,Manufacturer,,,,,"This field refers to the company, research group or individual who built or manufactured this hardware component.",string,,Manufacturer Specs,R,,same,,string
1,Y,,Model,,,,,This field refers to the Model name or any other designation the Manufacturer uses for this component.,string,,Manufacturer Specs,R,,same,,string
1,Y,,CatalogNumber,,,,,"This field records the Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",string,,Manufacturer Specs,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,string,,Manufacturer Specs,,,same,,string
3,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
e,e,,,,,,,,,,,,,,,
3,,,MapAnnotation,,,,,A Map Annotation. The contents of this is a list of Key/Value pairs.,Εlement,,Μap,0 ... ∞,,same,0 ... 1,Map
3,,,,ID,,,,A Unique Identifier for this component.,AnnotationID,,,R,,same,,
3,,,,Namespace,,,,We recommend the inclusion of a Namespace for annotations you define. If it is absent then we assume the annotation is to use our (OME's) default interpretation for this type.,anyURI,,,R,,same,,
3,,,,Annotator (ExperimenterID),,,,"The Annotator is the person who attached this annotation.e.g. If UserA annotates something with TagB, owned by UserB, UserA is still the Annotator.",ExperimenterID,,,,,same,,
3,,,,AnnotationRef,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 … ∞,,same,,
3,,,,Description,,,,This element contains a description for the annotation.[plain-text multi-line string],string (Element),,,0 … 1,,same,,
e,e,,,,,,,,,,,,,,,
3,,,,Value,,,,This is a Mapping of Key/Value pairs.,Element,,Μap,1,,same,,
3,,,,,M,,,This is a Key/Value pair used to build up a Mapping. The Element and Attribute Name are kept to single letters to minimize the length at the expense of readability as they are likely to occur many times.,Element,,,0 … ∞,,same,,
3,,,,,,,K,This is the key of this Key/Value pair.,string,,,R,,same,,
e,e,,,,,,,,,,,,,,,
3,,,SpecsFile,,,,,This element refers to a PDF file that contains the specifications for this hardware component as provided by the Manufacturer.,Element,,FileAnnotation,0 ...∞,,,, 
e,e,,,,,,,,,,,,,,,
